,index,LKOH_open,LKOH_close,LKOH_high,LKOH_low,LKOH_volume,SBER_open,SBER_close,SBER_high,SBER_low,SBER_volume,GAZP_open,GAZP_close,GAZP_high,GAZP_low,GAZP_volume,GMKN_open,GMKN_close,GMKN_high,GMKN_low,GMKN_volume,NVTK_open,NVTK_close,NVTK_high,NVTK_low,NVTK_volume,YNDX_open,YNDX_close,YNDX_high,YNDX_low,YNDX_volume,ROSN_open,ROSN_close,ROSN_high,ROSN_low,ROSN_volume,MGNT_open,MGNT_close,MGNT_high,MGNT_low,MGNT_volume,TATN_open,TATN_close,TATN_high,TATN_low,TATN_volume,PHOR_open,PHOR_close,PHOR_high,PHOR_low,PHOR_volume,PLZL_open,PLZL_close,PLZL_high,PLZL_low,PLZL_volume,SNGS_open,SNGS_close,SNGS_high,SNGS_low,SNGS_volume,MTSS_open,MTSS_close,MTSS_high,MTSS_low,MTSS_volume,FIVE_open,FIVE_close,FIVE_high,FIVE_low,FIVE_volume,CHMF_open,CHMF_close,CHMF_high,CHMF_low,CHMF_volume,ALRS_open,ALRS_close,ALRS_high,ALRS_low,ALRS_volume,NLMK_open,NLMK_close,NLMK_high,NLMK_low,NLMK_volume,SNGSP_open,SNGSP_close,SNGSP_high,SNGSP_low,SNGSP_volume,MOEX_open,MOEX_close,MOEX_high,MOEX_low,MOEX_volume,SBERP_open,SBERP_close,SBERP_high,SBERP_low,SBERP_volume,POLY_open,POLY_close,POLY_high,POLY_low,POLY_volume,OZON_open,OZON_close,OZON_high,OZON_low,OZON_volume,IRAO_open,IRAO_close,IRAO_high,IRAO_low,IRAO_volume,RUAL_open,RUAL_close,RUAL_high,RUAL_low,RUAL_volume,PIKK_open,PIKK_close,PIKK_high,PIKK_low,PIKK_volume,HYDR_open,HYDR_close,HYDR_high,HYDR_low,HYDR_volume,MAGN_open,MAGN_close,MAGN_high,MAGN_low,MAGN_volume,VTBR_open,VTBR_close,VTBR_high,VTBR_low,VTBR_volume,TATNP_open,TATNP_close,TATNP_high,TATNP_low,TATNP_volume,RTKM_open,RTKM_close,RTKM_high,RTKM_low,RTKM_volume,CBOM_open,CBOM_close,CBOM_high,CBOM_low,CBOM_volume,TRNFP_open,TRNFP_close,TRNFP_high,TRNFP_low,TRNFP_volume,AFKS_open,AFKS_close,AFKS_high,AFKS_low,AFKS_volume,ENPG_open,ENPG_close,ENPG_high,ENPG_low,ENPG_volume,DSKY_open,DSKY_close,DSKY_high,DSKY_low,DSKY_volume,AFLT_open,AFLT_close,AFLT_high,AFLT_low,AFLT_volume,TCSG_open,TCSG_close,TCSG_high,TCSG_low,TCSG_volume,VKCO_open,VKCO_close,VKCO_high,VKCO_low,VKCO_volume,FIXP_open,FIXP_close,FIXP_high,FIXP_low,FIXP_volume,GLTR_open,GLTR_close,GLTR_high,GLTR_low,GLTR_volume,open,close,high,low,volume
0,2020-08-27,5286.0,5174.0,5292.5,5154.0,1030110,227.8,226.23,229.98,225.6,5100554,187.5,184.58,188.01,182.62,3818377,19996.0,19670.0,20020.0,19602.0,248995,1135.2,1110.4,1140.2,1101.0,1110389,4990.0,4842.8,5022.8,4791.0,2604003,397.5,389.65,399.0,388.3,388560,4666.0,4728.0,4746.0,4652.5,422233,573.9,561.4,574.0,560.0,2393703,2805.0,2761.0,2811.0,2745.0,99125,18182.5,18170.0,18470.0,18077.5,173264,38.505,37.77,38.74,37.68,466074,346.75,348.7,349.7,345.85,364406,2835.0,2774.0,2839.5,2766.0,167797,962.8,952.2,964.8,948.6,789027,67.53,67.4,68.14,67.21,1180951,159.68,158.82,160.94,157.54,636469,38.55,38.18,38.595,38.0,261143,143.67,141.6,143.9,140.67,654869,217.7,216.6,218.08,215.66,707706,1977.8,1943.3,2004.2,1927.8,1295485,0.0,0.0,0.0,0.0,0,5.35,5.2905,5.374,5.252,184677,32.065,31.65,32.32,31.31,588097,498.4,496.0,504.0,496.0,18044,0.7602,0.745,0.7674,0.7407,1767198,39.64,38.825,39.67,38.585,128968,0.03605,0.03609,0.03637,0.03595,2223814,550.6,543.5,551.9,540.2,278343,98.28,96.95,98.28,96.91,180848,5.912,5.913,5.935,5.855,529423,142700.0,141400.0,142750.0,140850.0,1671,21.358,21.224,21.72,21.18,263279,699.5,684.5,699.5,678.5,18555,123.0,125.12,125.4,122.62,260337,83.38,82.86,83.4,82.38,421463,1982.2,1989.2,1870.0,1895.0,256436,2348.0,2448.0,2304.0,2335.2,1023040,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.048,4.994,5.056,4.98,6660000
1,2020-08-28,5170.0,5082.0,5178.5,5056.5,776902,227.0,226.3,228.1,225.19,4070058,184.96,182.9,185.22,182.48,3429108,19712.0,19364.0,19770.0,19300.0,285149,1117.6,1096.4,1117.6,1090.2,1390631,4865.0,4845.0,4928.2,4761.0,2429625,389.9,380.65,391.2,378.8,349516,4729.0,4581.5,4730.0,4560.0,481042,561.6,556.8,561.9,553.3,2141319,2751.0,2718.0,2767.0,2701.0,114493,18275.0,18366.0,18442.0,18052.0,231135,37.725,37.2,37.865,36.97,235024,349.0,341.75,349.1,341.1,282680,2784.5,2713.0,2784.5,2690.0,145599,953.0,943.6,953.4,941.0,550327,67.39,67.18,67.55,66.8,586019,159.08,156.1,159.24,155.38,599092,38.16,37.47,38.215,37.13,248830,141.95,139.38,141.95,138.15,702748,217.16,215.54,217.16,215.0,550632,1963.0,2025.3,2036.0,1942.6,1318937,0.0,0.0,0.0,0.0,0,5.3005,5.298,5.318,5.253,86579,31.85,31.015,31.85,30.505,631074,499.0,497.6,500.5,496.0,7291,0.748,0.7465,0.752,0.7365,656671,38.84,38.6,38.895,38.325,104568,0.036165,0.03595,0.036275,0.0358,1505461,544.5,541.7,544.9,538.1,422065,97.08,97.14,98.4,96.6,347097,5.912,5.882,5.932,5.87,429124,141100.0,138150.0,141550.0,136300.0,3792,21.304,21.297,21.45,21.035,180402,689.5,687.5,699.5,672.5,15180,124.8,120.5,125.2,118.26,465449,83.02,82.24,83.08,81.9,443368,1912.8,1912.8,1821.0,1876.0,194543,2340.0,2359.0,2262.8,2299.0,599807,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.012,4.96,5.012,4.94,2810000
2,2020-08-31,5096.0,4991.0,5128.5,4960.0,1416679,227.02,226.1,229.71,225.0,6194464,183.12,181.01,184.28,180.51,4745953,19436.0,19394.0,19672.0,19250.0,402572,1100.0,1103.0,1112.0,1099.0,539266,4888.0,5089.4,5165.0,4881.0,22750215,382.4,373.2,385.0,371.25,751195,4590.0,4474.5,4603.0,4420.5,468217,557.4,547.8,561.2,544.5,4130086,2719.0,2765.0,2807.0,2719.0,214087,18402.0,18085.5,18404.5,17890.5,227714,37.28,36.705,37.575,36.525,379168,342.75,335.9,343.95,334.1,265399,2721.5,2674.0,2750.0,2663.0,369218,945.2,931.0,952.2,929.2,1371331,67.3,66.15,68.02,65.65,2201404,156.22,154.48,157.64,154.08,870856,37.58,37.22,37.605,37.075,213030,140.0,137.87,140.69,135.62,1611464,216.2,215.5,217.11,214.57,745313,2032.0,2004.9,2084.5,1965.2,1349754,0.0,0.0,0.0,0.0,0,5.3195,5.217,5.3215,5.161,352835,31.12,30.67,31.175,30.5,467493,499.0,506.2,509.5,498.0,25774,0.7481,0.73,0.752,0.7251,1102133,38.565,37.85,38.845,37.55,241673,0.03606,0.035375,0.036195,0.035055,2978433,541.6,532.7,544.5,527.2,1222887,97.5,96.63,98.2,95.66,404585,5.885,5.862,6.132,5.85,592088,138500.0,137650.0,139600.0,137450.0,2562,21.402,21.39,21.625,21.31,254973,689.0,691.0,698.5,688.5,6788,120.6,116.76,120.6,114.32,693101,82.64,81.02,82.88,80.0,1097661,1884.4,1950.4,1851.6,1893.4,266457,2314.2,2364.8,2304.8,2350.0,365700,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.98,4.934,5.006,4.916,2690000
3,2020-09-01,5009.5,4949.0,5016.0,4917.0,1286553,226.71,227.64,227.97,226.01,3750287,181.4,184.22,184.87,181.01,4800748,19442.0,19930.0,19944.0,19332.0,379129,1109.0,1106.0,1109.0,1091.6,1064731,5082.6,5033.0,5177.0,4984.8,3622595,375.0,373.9,375.45,369.8,355543,4480.0,4497.5,4540.0,4376.0,556547,549.9,549.5,550.8,543.1,3141932,2792.0,2734.0,2793.0,2713.0,92918,18201.0,17868.0,18765.0,17707.5,296455,36.71,36.85,37.155,36.38,341849,337.4,339.5,341.3,331.6,412529,2706.0,2622.0,2706.0,2577.0,276669,932.2,946.4,947.6,919.6,1332080,66.41,68.25,68.76,66.06,1957465,155.38,161.28,161.76,152.4,915215,37.22,37.245,37.375,36.92,156659,138.07,137.5,138.89,135.2,1105248,216.23,217.16,217.37,215.62,444784,2035.0,2049.3,2061.3,2005.0,1318225,0.0,0.0,0.0,0.0,0,5.22,5.4235,5.435,5.152,576083,30.675,31.57,31.8,30.6,711066,505.1,525.2,525.5,503.4,23917,0.7302,0.7375,0.7407,0.7301,690679,37.995,38.33,38.34,37.65,119951,0.035435,0.036065,0.036085,0.03537,2461187,532.7,531.2,535.4,525.6,579372,96.78,97.29,97.94,96.12,253098,5.898,5.908,6.0,5.803,704125,137950.0,140300.0,140450.0,136950.0,2404,21.443,21.629,21.9,20.9,562845,690.0,685.0,692.5,682.0,18480,116.98,113.8,119.5,110.12,840123,80.9,82.14,82.4,80.24,772098,1875.4,1875.4,1795.6,1815.2,335846,2364.8,2415.8,2341.0,2390.0,526733,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.964,4.952,4.978,4.92,1660000
4,2020-09-02,4954.0,4852.0,4978.5,4828.5,1545721,228.56,222.57,228.75,220.85,7778383,184.8,181.95,186.29,181.1,5023912,19970.0,19916.0,20238.0,19526.0,642572,1108.8,1097.0,1124.4,1093.0,1662712,5070.0,5070.0,5118.2,4943.0,2459368,374.5,371.5,377.5,367.3,452499,4500.0,4564.5,4619.0,4444.5,518184,551.8,545.0,553.5,541.4,3575581,2726.0,2750.0,2768.0,2701.0,73666,17800.0,17529.5,17869.0,17253.5,238949,36.95,35.915,37.08,35.795,641843,339.9,335.8,342.9,333.55,355238,2611.5,2661.0,2704.5,2591.5,213205,948.0,951.0,959.4,941.0,1350493,68.36,66.67,68.53,66.06,1408374,161.24,161.9,163.38,160.48,1041930,37.3,37.535,37.78,37.07,346590,138.08,137.05,139.19,136.58,1174041,217.59,214.0,218.2,212.05,1198746,2033.4,1984.0,2043.0,1964.0,807247,0.0,0.0,0.0,0.0,0,5.439,5.38,5.6,5.3555,559071,31.5,31.315,32.15,31.11,1064128,525.0,536.0,540.0,521.1,25512,0.7396,0.7308,0.7466,0.726,775055,38.3,37.68,38.38,37.325,251868,0.036085,0.035555,0.03616,0.03516,2995530,531.0,529.1,539.2,527.3,689749,97.7,95.97,97.92,95.65,310435,5.913,5.872,5.927,5.857,570060,140100.0,137800.0,140300.0,136250.0,2223,21.51,20.927,21.7,20.654,491545,688.0,670.0,688.0,669.0,24315,111.96,112.8,113.48,110.7,3198365,82.1,81.4,82.6,80.88,505876,1815.0,1869.6,1773.0,1835.8,237204,2403.4,2418.0,2310.8,2316.8,447650,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.97,4.918,4.994,4.9,3140000
5,2020-09-03,4839.5,4814.0,4898.0,4795.5,1513466,221.76,218.32,224.23,218.0,6935233,182.4,179.13,182.59,178.6,6290872,19912.0,19838.0,20142.0,19786.0,276490,1096.8,1095.0,1104.2,1090.4,944615,5043.8,4917.8,5106.0,4870.0,2587899,371.0,366.2,372.35,363.3,480292,4575.5,4565.0,4597.5,4537.5,274496,542.8,532.6,544.6,529.2,4751102,2752.0,2749.0,2765.0,2724.0,39336,17352.0,16951.0,17444.5,16763.5,329840,35.765,35.5,36.145,35.2,387563,337.05,335.4,339.3,332.7,583988,2682.0,2658.0,2682.0,2626.5,146981,950.0,943.6,957.0,942.0,1128040,66.57,66.9,67.64,66.26,1372801,161.46,161.92,163.74,161.06,655434,37.615,36.955,37.775,36.925,281534,136.96,136.5,138.5,135.31,1273108,214.0,210.4,215.49,209.7,1133195,1969.0,1925.0,1969.9,1904.1,888054,0.0,0.0,0.0,0.0,0,5.4,5.3235,5.465,5.308,246487,31.545,31.03,31.825,30.55,862002,534.1,527.2,541.9,526.0,19606,0.73,0.729,0.7387,0.7206,708102,37.65,36.97,37.74,36.85,199839,0.0355,0.03508,0.03562,0.034925,3414272,530.2,516.2,531.1,512.4,850522,96.2,96.88,97.4,96.01,271550,5.872,5.826,5.912,5.789,473417,138050.0,136600.0,138650.0,136000.0,2346,20.509,20.573,21.285,20.41,437340,670.0,667.5,681.5,665.0,28546,112.58,110.94,114.0,110.3,1110238,81.44,80.86,82.5,80.78,759160,1846.4,1866.0,1781.0,1788.0,233124,2321.0,2375.0,2230.0,2268.0,524341,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.938,4.86,4.94,4.85,1960000
6,2020-09-04,4802.0,4858.0,4888.0,4802.0,963821,218.01,222.21,222.5,216.75,7051406,178.98,179.55,180.56,178.0,4300887,19810.0,19924.0,20004.0,19628.0,268771,1094.2,1130.4,1133.0,1092.4,1426752,4890.6,4885.0,4993.8,4766.0,2799228,365.7,372.5,372.8,365.0,565351,4561.5,4590.5,4616.0,4528.0,251453,532.2,536.4,540.4,529.3,2950513,2748.0,2779.0,2780.0,2735.0,58249,16967.5,17270.0,17380.0,16928.5,217906,35.41,35.29,35.91,35.0,323536,335.6,336.0,338.25,332.2,305721,2664.0,2672.0,2694.0,2623.0,110093,943.6,947.4,949.2,932.4,1252639,66.95,67.92,68.18,66.6,2126900,161.52,162.5,162.94,160.22,446185,36.94,36.915,37.195,36.7,219028,136.05,135.08,137.08,129.0,915715,209.76,214.35,214.6,207.4,863502,1923.8,1932.0,1955.0,1894.3,915377,0.0,0.0,0.0,0.0,0,5.309,5.36,5.378,5.28,144564,30.93,31.55,31.9,30.93,745613,530.4,534.0,536.0,528.0,11211,0.7303,0.7265,0.7368,0.7211,420982,36.99,37.195,37.44,36.9,136051,0.03498,0.035335,0.0354,0.034805,2095479,515.3,524.1,526.1,512.2,610150,97.09,97.23,97.98,96.62,308795,5.824,5.824,5.844,5.773,537195,136350.0,136850.0,137900.0,136250.0,1174,20.502,20.719,20.939,20.249,336463,665.5,659.0,666.5,657.0,23502,110.82,110.44,111.18,109.06,686325,81.26,81.8,82.32,80.6,408688,1770.0,1820.0,1721.4,1800.0,181136,2255.6,2310.0,2160.0,2200.0,686244,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.87,4.86,4.9,4.826,1200000
7,2020-09-07,4829.5,4795.0,4850.0,4790.0,646340,221.58,221.32,224.2,220.5,5922702,178.82,177.04,179.75,175.94,3898359,19904.0,20006.0,20052.0,19814.0,116628,1128.6,1113.6,1132.4,1107.0,848432,4845.0,4975.0,4997.8,4810.0,1264674,370.0,371.4,373.4,367.45,341395,4580.0,4558.5,4604.5,4540.0,150741,534.4,533.9,538.3,531.6,1297229,2767.0,2799.0,2815.0,2671.0,56503,17250.0,17431.0,17646.5,17233.5,158923,35.19,35.24,35.47,35.075,163887,335.6,335.8,337.0,331.05,206383,2672.5,2639.5,2678.5,2622.0,116294,931.0,929.6,933.0,925.6,918542,67.68,68.39,68.47,66.7,1325794,161.98,160.2,162.48,159.44,377509,36.96,37.2,37.37,36.815,133331,134.19,136.77,137.79,133.58,725475,213.7,213.93,216.1,212.63,768517,1932.0,2005.5,2027.0,1923.9,1949292,0.0,0.0,0.0,0.0,0,5.3575,5.3215,5.3765,5.261,95236,31.495,31.825,31.88,31.205,595770,533.4,558.0,559.9,533.0,29839,0.7278,0.7277,0.7305,0.7213,336577,37.11,36.93,37.425,36.66,159124,0.035255,0.03521,0.035445,0.035085,1415049,520.4,521.0,524.2,517.3,376991,97.07,96.46,97.35,95.8,258811,5.834,5.84,5.879,5.803,546297,136850.0,136950.0,137650.0,136700.0,941,20.57,20.65,20.856,20.073,375395,656.0,662.0,674.5,655.5,9379,110.42,111.36,112.0,109.98,1175416,81.8,81.96,82.32,81.32,187628,1793.2,1905.4,1774.0,1888.2,246357,2220.0,2223.6,2169.8,2182.2,287688,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.854,4.876,4.906,4.854,1540000
8,2020-09-08,4800.0,4719.5,4822.0,4684.5,1301443,222.01,217.68,222.48,216.29,6980937,177.0,172.95,177.43,172.4,6383766,20050.0,19890.0,20178.0,19680.0,285551,1118.2,1102.8,1118.8,1084.0,1024536,4980.2,4670.2,5035.0,4660.2,3248397,370.5,367.9,372.65,364.5,502074,4562.0,4535.0,4582.5,4448.5,312059,534.7,523.9,534.7,519.1,3236195,2805.0,2760.0,2805.0,2730.0,61171,17481.0,17023.0,17527.0,16820.5,211831,35.26,34.515,35.435,34.355,460160,336.95,332.35,336.95,328.2,330112,2639.5,2683.0,2709.5,2627.0,257531,930.0,928.6,936.8,926.0,1360621,68.48,69.37,69.75,68.28,2514359,160.18,158.98,161.0,158.52,639915,37.19,37.125,37.5,36.925,228616,137.15,136.54,137.86,134.55,802145,214.3,211.04,214.47,209.03,1131035,2011.1,1948.1,2027.8,1902.3,1816754,0.0,0.0,0.0,0.0,0,5.33,5.223,5.356,5.182,161083,31.69,31.3,31.92,31.15,678892,555.5,553.2,562.0,550.0,31247,0.7281,0.7218,0.7439,0.7166,1155183,36.945,36.355,37.18,36.15,278489,0.03525,0.034825,0.035285,0.0345,2688550,521.3,514.7,521.4,508.0,575917,96.55,95.01,96.71,93.62,322204,5.842,5.819,5.862,5.74,392608,137300.0,135800.0,137300.0,134350.0,2532,20.718,20.488,20.79,20.081,225484,664.0,650.5,664.0,648.0,9145,111.36,110.6,111.98,109.2,499634,82.0,81.26,82.26,80.68,529134,1893.6,1919.8,1804.0,1845.0,292771,2200.0,2205.0,2069.2,2110.2,574521,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.892,4.82,4.91,4.78,1730000
9,2020-09-09,4704.0,4709.0,4758.5,4664.0,1081515,217.03,218.0,218.88,216.8,4797760,172.78,173.69,175.35,172.33,4196704,19854.0,19708.0,19900.0,19602.0,171973,1104.4,1092.0,1121.8,1087.8,874778,4695.0,4743.4,4759.0,4650.0,1686076,367.8,371.8,372.75,367.35,459651,4532.0,4456.0,4532.0,4403.0,279467,521.1,529.7,531.3,519.9,2631827,2760.0,2757.0,2792.0,2741.0,62187,17014.5,16735.0,17074.0,16518.0,253293,34.565,35.03,35.365,34.415,342554,331.7,336.1,336.65,330.05,215129,2675.0,2603.0,2700.0,2585.0,173165,928.0,943.6,947.4,927.0,1605023,69.37,69.2,69.76,68.75,1134390,158.6,159.86,160.56,158.1,742373,37.135,37.485,37.66,37.075,201320,136.16,136.86,137.07,135.05,402739,210.74,211.17,211.91,210.0,655982,1895.0,1911.0,1920.9,1861.0,4517860,0.0,0.0,0.0,0.0,0,5.218,5.34,5.355,5.158,187623,31.155,31.24,31.61,30.78,647323,555.5,566.9,568.5,551.0,26191,0.7231,0.7365,0.7409,0.7182,709915,36.36,37.48,37.52,36.205,220802,0.03483,0.03503,0.03506,0.03471,1479756,512.9,517.0,521.1,510.4,449521,94.68,94.5,95.68,93.93,217777,5.82,5.803,5.839,5.762,445221,134800.0,136000.0,137000.0,134800.0,1300,20.405,20.678,20.774,20.229,167122,646.5,644.0,650.0,642.5,8112,110.58,112.0,112.26,109.6,821378,81.14,81.98,82.2,80.96,407431,1845.0,1858.4,1800.0,1821.6,212698,2106.6,2170.0,2072.4,2143.0,371264,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.802,4.796,4.82,4.782,1150000
