<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.FIXP:TQBR,D,20210310,000000,724.5000000,757.0000000,712.2000000,716.9000000,2614386
MOEX.FIXP:TQBR,D,20210311,000000,725.2000000,725.2000000,671.0000000,717.0000000,1276634
MOEX.FIXP:TQBR,D,20210312,000000,720.9000000,721.0000000,701.1000000,715.5000000,461045
MOEX.FIXP:TQBR,D,20210315,000000,719.1000000,719.1000000,703.6000000,704.9000000,955546
MOEX.FIXP:TQBR,D,20210316,000000,708.0000000,709.4000000,696.0000000,697.9000000,612002
MOEX.FIXP:TQBR,D,20210317,000000,700.1000000,710.0000000,674.7000000,709.2000000,1268365
MOEX.FIXP:TQBR,D,20210318,000000,710.7000000,716.8000000,706.0000000,716.0000000,123364
MOEX.FIXP:TQBR,D,20210319,000000,716.0000000,717.0000000,706.0000000,716.3000000,96556
MOEX.FIXP:TQBR,D,20210322,000000,711.0000000,721.7000000,708.2000000,718.0000000,133525
MOEX.FIXP:TQBR,D,20210323,000000,718.0000000,729.9000000,718.0000000,728.0000000,595829
MOEX.FIXP:TQBR,D,20210324,000000,728.0000000,733.0000000,723.1000000,732.5000000,514427
MOEX.FIXP:TQBR,D,20210325,000000,731.6000000,742.0000000,727.2000000,739.9000000,351101
MOEX.FIXP:TQBR,D,20210326,000000,735.2000000,743.5000000,717.0000000,738.7000000,175609
MOEX.FIXP:TQBR,D,20210329,000000,741.4000000,741.5000000,733.4000000,739.0000000,134097
MOEX.FIXP:TQBR,D,20210330,000000,741.0000000,742.6000000,736.4000000,741.4000000,258861
MOEX.FIXP:TQBR,D,20210331,000000,742.9000000,742.9000000,732.9000000,737.0000000,79947
MOEX.FIXP:TQBR,D,20210401,000000,737.7000000,744.0000000,736.8000000,743.0000000,176398
MOEX.FIXP:TQBR,D,20210402,000000,744.8000000,745.0000000,736.0000000,738.9000000,33737
MOEX.FIXP:TQBR,D,20210405,000000,740.0000000,742.0000000,721.6000000,724.3000000,70263
MOEX.FIXP:TQBR,D,20210406,000000,728.0000000,743.9000000,710.0000000,713.0000000,128240
MOEX.FIXP:TQBR,D,20210407,000000,714.8000000,716.7000000,701.0000000,704.4000000,112088
MOEX.FIXP:TQBR,D,20210408,000000,707.9000000,727.1000000,705.0000000,716.8000000,93415
MOEX.FIXP:TQBR,D,20210409,000000,724.0000000,726.8000000,715.0000000,720.0000000,58897
