<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.GLTR:TQBR,D,20201028,000000,485.0000000,486.0000000,451.0500000,456.9000000,289200
MOEX.GLTR:TQBR,D,20201029,000000,462.5000000,463.5000000,455.0000000,457.7000000,252990
MOEX.GLTR:TQBR,D,20201030,000000,457.7000000,463.0000000,449.7000000,455.6000000,144380
MOEX.GLTR:TQBR,D,20201102,000000,458.5500000,464.7500000,450.1000000,461.2500000,81670
MOEX.GLTR:TQBR,D,20201103,000000,469.9000000,469.9000000,452.4000000,456.6500000,82510
MOEX.GLTR:TQBR,D,20201105,000000,460.8500000,460.8500000,450.2000000,451.9500000,111480
MOEX.GLTR:TQBR,D,20201106,000000,453.0000000,459.0000000,450.7000000,456.4500000,75420
MOEX.GLTR:TQBR,D,20201109,000000,459.9500000,459.9500000,451.2500000,457.0000000,187300
MOEX.GLTR:TQBR,D,20201110,000000,456.8500000,462.0500000,452.5500000,456.0000000,95550
MOEX.GLTR:TQBR,D,20201111,000000,452.5500000,461.8500000,452.0500000,459.1000000,74680
MOEX.GLTR:TQBR,D,20201112,000000,459.1000000,468.7000000,456.0000000,468.6000000,65860
MOEX.GLTR:TQBR,D,20201113,000000,469.2000000,484.8500000,465.9500000,467.9000000,202820
MOEX.GLTR:TQBR,D,20201116,000000,478.7500000,478.7500000,463.0000000,463.0000000,158130
MOEX.GLTR:TQBR,D,20201117,000000,476.8000000,476.8000000,457.4000000,460.9000000,145770
MOEX.GLTR:TQBR,D,20201118,000000,463.8500000,463.9000000,457.0000000,459.0000000,143800
MOEX.GLTR:TQBR,D,20201119,000000,460.0000000,462.0000000,453.5500000,457.2000000,153420
MOEX.GLTR:TQBR,D,20201120,000000,459.5500000,459.5500000,447.1500000,448.4000000,311170
MOEX.GLTR:TQBR,D,20201123,000000,449.7000000,451.8500000,437.0000000,439.0000000,264920
MOEX.GLTR:TQBR,D,20201124,000000,442.5000000,444.2000000,437.0500000,440.1500000,157930
MOEX.GLTR:TQBR,D,20201125,000000,440.4000000,445.6500000,439.0000000,442.4500000,123430
MOEX.GLTR:TQBR,D,20201126,000000,442.2000000,444.9500000,440.0000000,441.6500000,103350
MOEX.GLTR:TQBR,D,20201127,000000,444.9000000,452.0000000,442.2000000,449.9000000,220140
MOEX.GLTR:TQBR,D,20201130,000000,450.0000000,453.1500000,442.6000000,443.9500000,153700
MOEX.GLTR:TQBR,D,20201201,000000,449.8000000,449.8000000,435.0000000,436.5500000,441050
MOEX.GLTR:TQBR,D,20201202,000000,436.4500000,437.7000000,433.9000000,434.5000000,146650
MOEX.GLTR:TQBR,D,20201203,000000,435.0000000,440.6000000,434.3000000,437.0000000,164180
MOEX.GLTR:TQBR,D,20201204,000000,438.9500000,441.1500000,435.6000000,437.1000000,134030
MOEX.GLTR:TQBR,D,20201207,000000,439.9500000,446.3500000,439.0000000,442.1000000,118420
MOEX.GLTR:TQBR,D,20201208,000000,442.0000000,448.8000000,439.0000000,440.9000000,169060
MOEX.GLTR:TQBR,D,20201209,000000,442.0000000,443.9000000,440.0000000,442.4000000,73090
MOEX.GLTR:TQBR,D,20201210,000000,442.4000000,443.1500000,441.0000000,443.0000000,54400
MOEX.GLTR:TQBR,D,20201211,000000,444.4500000,448.4500000,440.0000000,447.1500000,129630
MOEX.GLTR:TQBR,D,20201214,000000,449.6500000,449.6500000,444.0000000,445.0000000,68980
MOEX.GLTR:TQBR,D,20201215,000000,446.0000000,448.2000000,442.2000000,443.7000000,72870
MOEX.GLTR:TQBR,D,20201216,000000,443.1000000,446.6500000,441.2000000,445.4500000,66390
MOEX.GLTR:TQBR,D,20201217,000000,448.5000000,451.0000000,440.0000000,449.1000000,286210
MOEX.GLTR:TQBR,D,20201218,000000,448.5000000,448.5000000,441.0000000,443.3000000,150300
MOEX.GLTR:TQBR,D,20201221,000000,443.5000000,445.8000000,433.7000000,440.0000000,173670
MOEX.GLTR:TQBR,D,20201222,000000,440.3000000,446.3000000,434.9000000,445.2000000,83240
MOEX.GLTR:TQBR,D,20201223,000000,440.4500000,449.0000000,440.4000000,443.6500000,90410
MOEX.GLTR:TQBR,D,20201224,000000,444.8500000,445.4500000,439.9000000,441.8000000,65330
MOEX.GLTR:TQBR,D,20201225,000000,440.0500000,446.5000000,439.9000000,446.0000000,110870
MOEX.GLTR:TQBR,D,20201228,000000,443.7000000,449.3000000,443.7000000,448.0000000,88820
MOEX.GLTR:TQBR,D,20201229,000000,447.0000000,456.0000000,447.0000000,453.0000000,187920
MOEX.GLTR:TQBR,D,20201230,000000,453.0000000,458.0000000,452.3000000,455.7500000,219810
MOEX.GLTR:TQBR,D,20210104,000000,457.0000000,462.0000000,450.5000000,458.0000000,209470
MOEX.GLTR:TQBR,D,20210105,000000,461.0000000,465.0000000,458.1000000,465.0000000,68510
MOEX.GLTR:TQBR,D,20210106,000000,464.5000000,466.0500000,460.0000000,463.3000000,143970
MOEX.GLTR:TQBR,D,20210108,000000,467.0000000,482.0000000,464.6000000,477.0000000,189300
MOEX.GLTR:TQBR,D,20210111,000000,477.2000000,492.9000000,476.0000000,492.9000000,223910
MOEX.GLTR:TQBR,D,20210112,000000,488.4000000,499.9500000,479.0000000,485.5000000,341570
MOEX.GLTR:TQBR,D,20210113,000000,487.5500000,492.4000000,478.5000000,484.2000000,135000
MOEX.GLTR:TQBR,D,20210114,000000,488.8500000,496.4500000,482.2000000,491.0000000,183350
MOEX.GLTR:TQBR,D,20210115,000000,494.0500000,506.5000000,492.0500000,500.2000000,172650
MOEX.GLTR:TQBR,D,20210118,000000,504.0000000,530.0000000,501.1000000,516.9500000,203150
MOEX.GLTR:TQBR,D,20210119,000000,518.9000000,525.4000000,507.5500000,517.0500000,218210
MOEX.GLTR:TQBR,D,20210120,000000,512.1000000,528.0000000,511.9500000,528.0000000,207840
MOEX.GLTR:TQBR,D,20210121,000000,529.9000000,548.4000000,512.8000000,547.0000000,364570
MOEX.GLTR:TQBR,D,20210122,000000,544.8000000,544.8000000,523.0000000,537.0000000,379880
MOEX.GLTR:TQBR,D,20210125,000000,535.1500000,542.0000000,510.0000000,532.6000000,152090
MOEX.GLTR:TQBR,D,20210126,000000,527.2000000,531.6500000,523.0000000,525.5000000,98600
MOEX.GLTR:TQBR,D,20210127,000000,526.9500000,528.5000000,509.4000000,511.5500000,193720
MOEX.GLTR:TQBR,D,20210128,000000,514.9000000,530.0000000,501.1000000,511.5000000,376000
MOEX.GLTR:TQBR,D,20210129,000000,514.9000000,520.1500000,506.3000000,512.4500000,131030
MOEX.GLTR:TQBR,D,20210201,000000,513.0000000,521.0000000,508.0000000,511.1500000,115500
MOEX.GLTR:TQBR,D,20210202,000000,512.2000000,520.0000000,507.0000000,512.1500000,113010
MOEX.GLTR:TQBR,D,20210203,000000,513.0000000,518.9500000,508.4000000,512.5000000,93440
MOEX.GLTR:TQBR,D,20210204,000000,513.1500000,514.4000000,505.1000000,512.1000000,197800
MOEX.GLTR:TQBR,D,20210205,000000,509.4000000,511.6500000,505.0500000,509.0000000,185210
MOEX.GLTR:TQBR,D,20210208,000000,516.7500000,518.9000000,510.6000000,518.5000000,253760
MOEX.GLTR:TQBR,D,20210209,000000,518.5000000,522.0000000,510.2000000,514.2000000,183560
MOEX.GLTR:TQBR,D,20210210,000000,517.3000000,517.3500000,505.0000000,507.5000000,269680
MOEX.GLTR:TQBR,D,20210211,000000,511.3000000,511.3500000,500.4500000,505.4000000,105440
MOEX.GLTR:TQBR,D,20210212,000000,507.6000000,507.8500000,496.8000000,506.7000000,160220
MOEX.GLTR:TQBR,D,20210215,000000,509.0000000,509.8500000,499.1000000,504.8000000,229080
MOEX.GLTR:TQBR,D,20210216,000000,502.7500000,508.9500000,500.7000000,503.9500000,116670
MOEX.GLTR:TQBR,D,20210217,000000,504.7000000,506.0000000,497.0000000,500.0000000,171860
MOEX.GLTR:TQBR,D,20210218,000000,502.1000000,502.1000000,495.0000000,498.2000000,130310
MOEX.GLTR:TQBR,D,20210219,000000,498.4500000,500.0000000,490.5000000,496.5000000,221860
MOEX.GLTR:TQBR,D,20210220,000000,497.3000000,501.5000000,495.2000000,501.0000000,39420
MOEX.GLTR:TQBR,D,20210222,000000,504.5500000,504.9500000,484.6000000,493.4500000,221380
MOEX.GLTR:TQBR,D,20210224,000000,493.0000000,498.0000000,486.0000000,493.0000000,187880
MOEX.GLTR:TQBR,D,20210225,000000,499.3500000,500.0000000,490.0500000,494.4000000,180750
MOEX.GLTR:TQBR,D,20210226,000000,493.4000000,503.3500000,489.1000000,498.0500000,161670
MOEX.GLTR:TQBR,D,20210301,000000,502.0000000,510.8000000,499.0000000,509.4000000,166260
MOEX.GLTR:TQBR,D,20210302,000000,510.2500000,515.1500000,500.5000000,505.0000000,254220
MOEX.GLTR:TQBR,D,20210303,000000,508.9500000,509.1000000,501.1500000,504.7000000,163240
MOEX.GLTR:TQBR,D,20210304,000000,504.7000000,509.5000000,501.5500000,502.0500000,107290
MOEX.GLTR:TQBR,D,20210305,000000,507.4000000,508.3500000,502.0000000,506.4000000,113170
MOEX.GLTR:TQBR,D,20210309,000000,506.0500000,511.4000000,491.0000000,507.0000000,141690
MOEX.GLTR:TQBR,D,20210310,000000,509.5000000,509.5000000,498.0000000,501.0000000,183540
MOEX.GLTR:TQBR,D,20210311,000000,502.0000000,506.0000000,493.7500000,496.5000000,311940
MOEX.GLTR:TQBR,D,20210312,000000,500.0000000,501.1500000,490.0000000,498.0000000,419110
MOEX.GLTR:TQBR,D,20210315,000000,501.0000000,515.9000000,495.4000000,512.0000000,376710
MOEX.GLTR:TQBR,D,20210316,000000,515.5000000,515.5000000,506.5000000,511.0000000,97620
MOEX.GLTR:TQBR,D,20210317,000000,512.9000000,515.2000000,507.5000000,513.3000000,149110
MOEX.GLTR:TQBR,D,20210318,000000,513.0000000,515.0000000,500.0000000,504.2500000,330250
MOEX.GLTR:TQBR,D,20210319,000000,504.0000000,509.5000000,497.0000000,500.4500000,198850
MOEX.GLTR:TQBR,D,20210322,000000,503.0000000,503.8000000,499.2000000,502.8000000,97660
MOEX.GLTR:TQBR,D,20210323,000000,504.9000000,506.0000000,499.7500000,501.2000000,240330
MOEX.GLTR:TQBR,D,20210324,000000,505.8000000,513.8500000,502.7500000,507.9000000,92290
MOEX.GLTR:TQBR,D,20210325,000000,509.1500000,513.9500000,501.1500000,507.9000000,236080
MOEX.GLTR:TQBR,D,20210326,000000,511.0000000,515.8000000,503.1000000,510.0000000,145070
