<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,20200827,000000,1982.2000000,1989.2000000,1870.0000000,1895.0000000,256436
TCSG,D,20200828,000000,1912.8000000,1912.8000000,1821.0000000,1876.0000000,194543
TCSG,D,20200831,000000,1884.4000000,1950.4000000,1851.6000000,1893.4000000,266457
TCSG,D,20200901,000000,1875.4000000,1875.4000000,1795.6000000,1815.2000000,335846
TCSG,D,20200902,000000,1815.0000000,1869.6000000,1773.0000000,1835.8000000,237204
TCSG,D,20200903,000000,1846.4000000,1866.0000000,1781.0000000,1788.0000000,233124
TCSG,D,20200904,000000,1770.0000000,1820.0000000,1721.4000000,1800.0000000,181136
TCSG,D,20200907,000000,1793.2000000,1905.4000000,1774.0000000,1888.2000000,246357
TCSG,D,20200908,000000,1893.6000000,1919.8000000,1804.0000000,1845.0000000,292771
TCSG,D,20200909,000000,1845.0000000,1858.4000000,1800.0000000,1821.6000000,212698
TCSG,D,20200910,000000,1827.2000000,1859.6000000,1812.4000000,1839.4000000,93633
TCSG,D,20200911,000000,1840.2000000,1859.8000000,1803.6000000,1821.0000000,140816
TCSG,D,20200914,000000,1821.2000000,1857.0000000,1792.4000000,1830.6000000,127829
TCSG,D,20200915,000000,1840.8000000,1925.0000000,1831.4000000,1916.8000000,272939
TCSG,D,20200916,000000,1945.0000000,1988.0000000,1907.8000000,1968.0000000,266001
TCSG,D,20200917,000000,1960.0000000,1997.6000000,1818.0000000,1963.2000000,329472
TCSG,D,20200918,000000,1974.0000000,2014.0000000,1922.0000000,1962.2000000,237323
TCSG,D,20200921,000000,1964.6000000,1995.0000000,1910.0000000,1954.2000000,278368
TCSG,D,20200922,000000,1948.0000000,2195.0000000,1940.4000000,2165.0000000,850640
TCSG,D,20200923,000000,2163.0000000,2165.0000000,2058.4000000,2083.2000000,1371965
TCSG,D,20200924,000000,2105.0000000,2117.4000000,2014.4000000,2026.0000000,425186
TCSG,D,20200925,000000,2037.6000000,2055.0000000,1965.6000000,2028.4000000,463630
TCSG,D,20200928,000000,2028.4000000,2085.0000000,2015.8000000,2070.0000000,307086
TCSG,D,20200929,000000,2083.8000000,2088.2000000,2036.0000000,2074.2000000,130216
TCSG,D,20200930,000000,2068.0000000,2068.0000000,2023.2000000,2045.2000000,171049
TCSG,D,20201001,000000,2078.8000000,2078.8000000,1985.4000000,2006.0000000,247028
TCSG,D,20201002,000000,1999.8000000,2030.0000000,1986.8000000,2011.0000000,97379
TCSG,D,20201005,000000,2002.2000000,2099.6000000,1981.2000000,2004.8000000,98484
TCSG,D,20201006,000000,2010.2000000,2041.0000000,1980.0000000,1985.0000000,171066
TCSG,D,20201007,000000,2004.0000000,2005.0000000,1945.0000000,1955.8000000,135644
TCSG,D,20201008,000000,1950.2000000,1959.0000000,1924.8000000,1929.0000000,206242
TCSG,D,20201009,000000,1926.0000000,2002.0000000,1910.0000000,1985.8000000,236690
TCSG,D,20201012,000000,1980.2000000,2019.0000000,1871.8000000,1898.0000000,698847
TCSG,D,20201013,000000,1896.8000000,1909.4000000,1840.6000000,1856.4000000,407628
TCSG,D,20201014,000000,1860.2000000,1957.0000000,1830.2000000,1905.4000000,498795
TCSG,D,20201015,000000,1919.4000000,1930.2000000,1850.2000000,1888.6000000,198448
TCSG,D,20201016,000000,1874.2000000,1878.2000000,1754.8000000,1827.6000000,691201
TCSG,D,20201019,000000,1800.2000000,1839.4000000,1750.0000000,1766.6000000,261515
TCSG,D,20201020,000000,1769.0000000,1835.2000000,1653.0000000,1702.0000000,609784
TCSG,D,20201021,000000,1686.0000000,1757.0000000,1680.4000000,1739.8000000,372816
TCSG,D,20201022,000000,1740.0000000,1812.0000000,1710.4000000,1805.4000000,332204
TCSG,D,20201023,000000,1800.0000000,1838.2000000,1791.2000000,1821.8000000,136989
TCSG,D,20201026,000000,1830.0000000,1898.0000000,1796.2000000,1877.8000000,491069
TCSG,D,20201027,000000,1871.8000000,2000.0000000,1839.2000000,1965.0000000,584307
TCSG,D,20201028,000000,1955.0000000,2050.0000000,1859.0000000,1937.0000000,1022468
TCSG,D,20201029,000000,1966.0000000,1984.8000000,1851.0000000,1891.0000000,234602
TCSG,D,20201030,000000,1886.0000000,1899.8000000,1807.0000000,1872.2000000,165708
TCSG,D,20201102,000000,1870.0000000,1980.0000000,1834.2000000,1946.6000000,236380
TCSG,D,20201103,000000,1949.8000000,2021.0000000,1935.0000000,1989.2000000,209591
TCSG,D,20201105,000000,2021.8000000,2125.6000000,2010.0000000,2088.2000000,493232
