"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 25, 2022","4.074","4.108","4.108","4.050","8.75M","-0.63%"
"Nov 24, 2022","4.100","4.108","4.126","4.088","11.27M","0.15%"
"Nov 23, 2022","4.094","4.078","4.110","4.064","12.46M","0.64%"
"Nov 22, 2022","4.068","4.070","4.082","4.044","15.34M","0.20%"
"Nov 21, 2022","4.060","4.090","4.098","4.002","13.29M","-0.64%"
"Nov 18, 2022","4.086","4.118","4.124","4.076","6.91M","-0.68%"
"Nov 17, 2022","4.114","4.160","4.160","4.104","12.44M","-0.05%"
"Nov 16, 2022","4.116","4.098","4.128","4.080","13.74M","1.88%"
"Nov 15, 2022","4.040","4.146","4.166","3.908","27.22M","-2.46%"
"Nov 14, 2022","4.142","4.102","4.150","4.100","19.93M","1.12%"
"Nov 11, 2022","4.096","4.096","4.108","4.066","21.06M","0.29%"
"Nov 10, 2022","4.084","4.030","4.090","4.014","14.06M","1.44%"
"Nov 09, 2022","4.026","4.094","4.096","3.986","11.70M","-1.66%"
"Nov 08, 2022","4.094","4.104","4.114","4.064","19.56M","-0.10%"
"Nov 07, 2022","4.098","4.040","4.100","4.040","19.01M","1.74%"
"Nov 03, 2022","4.028","4.040","4.056","3.948","14.94M","-0.25%"
"Nov 02, 2022","4.038","4.080","4.086","4.008","9.58M","-0.98%"
"Nov 01, 2022","4.078","4.082","4.098","4.056","13.64M","0.05%"
"Oct 31, 2022","4.076","4.082","4.120","4.060","15.88M","0.00%"
"Oct 28, 2022","4.076","4.090","4.090","4.000","16.26M","0.10%"
"Oct 27, 2022","4.072","4.012","4.078","4.008","17.82M","1.65%"
"Oct 26, 2022","4.006","4.012","4.060","3.928","17.75M","0.05%"
"Oct 25, 2022","4.004","3.904","4.016","3.872","17.83M","2.72%"
"Oct 24, 2022","3.898","3.950","3.950","3.862","13.22M","1.25%"
"Oct 21, 2022","3.850","3.802","3.854","3.774","12.24M","1.26%"
"Oct 20, 2022","3.802","3.750","3.816","3.744","11.94M","1.60%"
"Oct 19, 2022","3.742","3.738","3.788","3.652","12.92M","-0.27%"
"Oct 18, 2022","3.752","3.814","3.836","3.692","16.39M","-0.64%"
"Oct 17, 2022","3.776","3.708","3.784","3.690","17.34M","2.33%"
"Oct 14, 2022","3.690","3.690","3.710","3.658","10.07M","0.05%"
"Oct 13, 2022","3.688","3.680","3.716","3.644","13.65M","0.11%"
"Oct 12, 2022","3.684","3.670","3.698","3.642","13.92M","0.49%"
"Oct 11, 2022","3.666","3.610","3.678","3.604","14.60M","2.00%"
"Oct 10, 2022","3.594","3.360","3.630","3.360","21.65M","3.81%"
"Oct 07, 2022","3.462","3.658","3.658","3.460","15.72M","-5.31%"
"Oct 06, 2022","3.656","3.674","3.700","3.634","10.66M","0.11%"
"Oct 05, 2022","3.652","3.712","3.716","3.578","13.41M","-1.51%"
"Oct 04, 2022","3.708","3.722","3.786","3.650","12.43M","0.05%"
"Oct 03, 2022","3.706","3.600","3.708","3.552","20.98M","3.93%"
"Sep 30, 2022","3.566","3.508","3.588","3.410","47.49M","1.71%"
"Sep 29, 2022","3.506","3.598","3.600","3.450","29.46M","-1.41%"
"Sep 28, 2022","3.556","3.530","3.620","3.502","29.07M","0.34%"
"Sep 27, 2022","3.544","3.484","3.550","3.420","31.89M","3.63%"
"Sep 26, 2022","3.420","3.736","3.736","3.326","47.09M","-8.65%"
"Sep 23, 2022","3.744","3.912","3.930","3.698","30.63M","-3.65%"
"Sep 22, 2022","3.886","3.806","3.956","3.800","45.47M","0.88%"
"Sep 21, 2022","3.852","3.604","3.950","3.510","44.74M","-3.65%"
"Sep 20, 2022","3.998","4.392","4.392","3.856","61.15M","-8.80%"
"Sep 19, 2022","4.384","4.384","4.414","4.344","35.87M","0.05%"
"Sep 16, 2022","4.382","4.394","4.438","4.378","24.70M","-0.14%"
"Sep 15, 2022","4.388","4.360","4.398","4.350","20.05M","0.73%"
"Sep 14, 2022","4.356","4.394","4.400","4.304","17.51M","-0.82%"
"Sep 13, 2022","4.392","4.418","4.446","4.368","19.53M","-0.54%"
"Sep 12, 2022","4.416","4.332","4.442","4.332","28.96M","1.99%"
"Sep 09, 2022","4.330","4.296","4.372","4.270","15.24M","0.79%"
"Sep 08, 2022","4.296","4.340","4.342","4.232","10.96M","-0.83%"
"Sep 07, 2022","4.332","4.300","4.362","4.282","12.62M","-0.09%"
"Sep 06, 2022","4.336","4.468","4.486","4.258","17.67M","-2.95%"
"Sep 05, 2022","4.468","4.448","4.470","4.358","12.57M","0.59%"
"Sep 02, 2022","4.442","4.420","4.480","4.350","12.49M","1.00%"
"Sep 01, 2022","4.398","4.290","4.400","4.246","13.62M","3.00%"
"Aug 31, 2022","4.270","4.320","4.380","4.200","14.41M","3.39%"
"Aug 30, 2022","4.130","4.134","4.176","4.120","9.36M","0.00%"
"Aug 29, 2022","4.130","4.062","4.130","4.050","9.66M","1.72%"
"Aug 26, 2022","4.060","4.040","4.060","4.030","5.87M","0.50%"
"Aug 25, 2022","4.040","4.000","4.078","4.000","6.25M","0.90%"
"Aug 24, 2022","4.004","4.034","4.070","3.994","8.15M","-0.60%"
"Aug 23, 2022","4.028","3.970","4.032","3.966","7.06M","1.67%"
"Aug 22, 2022","3.962","3.926","3.990","3.914","6.88M","0.92%"
"Aug 19, 2022","3.926","3.924","3.974","3.912","4.54M","-0.30%"
"Aug 18, 2022","3.938","3.930","3.946","3.892","4.41M","0.20%"
"Aug 17, 2022","3.930","3.966","4.000","3.928","7.96M","-0.25%"
"Aug 16, 2022","3.940","3.870","3.942","3.868","10.51M","2.13%"
"Aug 15, 2022","3.858","3.836","3.870","3.830","10.90M","0.57%"
"Aug 12, 2022","3.836","3.810","3.846","3.790","5.70M","-0.31%"
"Aug 11, 2022","3.848","3.850","3.886","3.848","8.80M","0.16%"
"Aug 10, 2022","3.842","3.832","3.876","3.806","7.47M","0.58%"
"Aug 09, 2022","3.820","3.762","3.820","3.726","9.66M","1.06%"
"Aug 08, 2022","3.780","3.708","3.884","3.706","9.58M","1.67%"
"Aug 05, 2022","3.718","3.812","3.838","3.702","12.46M","-2.47%"
"Aug 04, 2022","3.812","3.832","3.854","3.810","5.12M","-0.88%"
"Aug 03, 2022","3.846","3.852","3.892","3.834","5.11M","-0.57%"
"Aug 02, 2022","3.868","3.928","3.928","3.852","6.75M","-1.48%"
"Aug 01, 2022","3.926","3.960","3.976","3.886","10.13M","-0.36%"
"Jul 29, 2022","3.940","3.922","3.952","3.910","9.34M","0.61%"
"Jul 28, 2022","3.916","3.956","3.976","3.876","9.65M","-0.91%"
"Jul 27, 2022","3.952","3.948","3.994","3.914","8.13M","0.56%"
"Jul 26, 2022","3.930","3.834","3.930","3.830","7.25M","2.66%"
"Jul 25, 2022","3.828","3.776","3.830","3.754","6.90M","1.54%"
"Jul 22, 2022","3.770","3.678","3.792","3.678","8.11M","1.89%"
"Jul 21, 2022","3.700","3.738","3.748","3.652","6.13M","-0.75%"
"Jul 20, 2022","3.728","3.718","3.746","3.702","5.43M","0.54%"
"Jul 19, 2022","3.708","3.734","3.750","3.662","5.14M","-0.96%"
"Jul 18, 2022","3.744","3.760","3.816","3.722","4.43M","0.21%"
"Jul 15, 2022","3.736","3.702","3.754","3.680","5.13M","0.65%"
"Jul 14, 2022","3.712","3.720","3.784","3.660","6.82M","-0.75%"
"Jul 13, 2022","3.740","3.804","3.834","3.706","5.61M","-1.58%"
"Jul 12, 2022","3.800","3.868","3.900","3.732","11.53M","-2.01%"
"Jul 11, 2022","3.878","3.972","3.974","3.868","7.44M","-2.12%"
"Jul 08, 2022","3.962","3.972","3.992","3.946","4.69M","-0.40%"
"Jul 07, 2022","3.978","3.958","4.000","3.946","4.44M","0.40%"
"Jul 06, 2022","3.962","3.966","4.050","3.908","8.60M","-0.10%"
"Jul 05, 2022","3.966","3.922","3.990","3.902","8.09M","1.12%"
"Jul 04, 2022","3.922","3.928","4.004","3.900","7.55M","-1.06%"
"Jul 01, 2022","3.964","3.998","4.038","3.830","10.08M","-1.44%"
"Jun 30, 2022","4.022","4.290","4.330","4.000","22.68M","-6.60%"
"Jun 29, 2022","4.306","4.278","4.326","4.262","9.98M","0.65%"
"Jun 28, 2022","4.278","4.274","4.290","4.240","7.80M","0.19%"
"Jun 27, 2022","4.270","4.258","4.276","4.218","5.48M","1.09%"
"Jun 24, 2022","4.224","4.260","4.270","4.200","6.20M","-0.61%"
"Jun 23, 2022","4.250","4.204","4.250","4.178","10.46M","1.05%"
"Jun 22, 2022","4.206","4.204","4.222","4.124","9.69M","0.00%"
"Jun 21, 2022","4.206","4.270","4.280","4.200","7.82M","-1.04%"
"Jun 20, 2022","4.250","4.184","4.250","4.166","9.54M","2.07%"
"Jun 17, 2022","4.164","4.202","4.218","4.152","6.18M","-0.53%"
"Jun 16, 2022","4.186","4.138","4.210","4.122","6.79M","1.41%"
"Jun 15, 2022","4.128","4.054","4.128","4.048","5.84M","1.98%"
"Jun 14, 2022","4.048","4.034","4.078","4.002","5.72M","0.40%"
"Jun 10, 2022","4.032","4.078","4.078","4.020","4.47M","-0.93%"
"Jun 09, 2022","4.070","4.118","4.118","4.034","5.82M","-0.73%"
"Jun 08, 2022","4.100","4.052","4.148","4.042","7.41M","1.23%"
"Jun 07, 2022","4.050","4.040","4.060","3.966","5.34M","0.35%"
"Jun 06, 2022","4.036","4.094","4.150","4.020","5.46M","-1.13%"
"Jun 03, 2022","4.082","4.124","4.148","4.050","7.41M","-1.11%"
"Jun 02, 2022","4.128","4.184","4.210","4.128","5.34M","-1.34%"
